"","Chromosome","Start","End","Num_Bins","Mean1","SE1","Mean2","SE2","p_value","q_value"
"1","1",1000001,28000000,23,2.03762898424002,0.0396771386339093,2.03762898424002,0.0396771386339093,1,1
"2","1",28000001,248956422,160,4.05272401684427,0.00973058319607722,4.05272401684427,0.00973058319607722,1,1
"3","2",2000001,242000000,183,4.04338719263399,0.0113600729257497,4.04338719263399,0.0113600729257497,1,1
"4","3",1,198000000,163,3.94730008259382,0.0156276787042941,3.94730008259382,0.0156276787042941,1,1
"5","4",1000001,189000000,149,3.09543980120571,0.00980436926663602,3.09543980120571,0.00980436926663602,1,1
"6","5",1000001,181000000,142,4.04994543400944,0.0121926369468164,4.04994543400944,0.0121926369468164,1,1
"7","6",2000001,113000000,94,4.04376793694686,0.0240043823510685,4.04376793694686,0.0240043823510685,1,1
"8","6",113000001,158000000,35,3.08268127964925,0.022103708261375,3.08268127964925,0.022103708261375,1,1
"9","6",158000001,170805979,12,1.96848692874833,0.017602503407115,1.96848692874833,0.017602503407115,1,1
"10","7",1,159000000,123,4.03611976548577,0.0186870256114321,4.03611976548577,0.0186870256114321,1,1
"11","8",1,15000000,10,4.62453151002386,0.0615087515350657,4.62453151002386,0.0615087515350657,1,1
"12","8",15000001,145000000,101,3.9977373427733,0.0140384465303928,3.9977373427733,0.0140384465303928,1,1
"13","9",1,138000000,88,2.96419247365404,0.0422823548749973,2.96419247365404,0.0422823548749973,1,1
"14","10",1,9000000,8,3.0341557866533,0.0350786623630214,3.0341557866533,0.0350786623630214,1,1
"15","10",9000001,34000000,21,2.01202278287382,0.0222456125005739,2.01202278287382,0.0222456125005739,1,1
"16","10",34000001,133000000,76,3.01738890714409,0.0135883992321308,3.01738890714409,0.0135883992321308,1,1
"17","11",1,135086622,114,3.98544214156652,0.0309544513719308,3.98544214156652,0.0309544513719308,1,1
"18","12",1000001,40000000,26,5.1284160819984,0.0282390388211625,5.1284160819984,0.0282390388211625,1,1
"19","12",42000001,57000000,14,4.11330903283405,0.0272565905697947,4.11330903283405,0.0272565905697947,1,1
"20","12",57000001,93000000,34,5.19785034828282,0.0239847313274093,5.19785034828282,0.0239847313274093,1,1
"21","12",93000001,133275309,37,4.96367117862656,0.0269611438304667,4.96367117862656,0.0269611438304667,1,1
"22","13",20000001,114364328,78,3.06203375513959,0.0130544058160345,3.06203375513959,0.0130544058160345,1,1
"23","14",19000001,105000000,75,5.06911566036309,0.0164446448066661,5.06911566036309,0.0164446448066661,1,1
"24","15",23000001,82000000,47,5.03637956670524,0.0255411354243625,5.03637956670524,0.0255411354243625,1,1
"25","15",82000001,101991189,18,5.93637928380106,0.0374960155638321,5.93637928380106,0.0374960155638321,1,1
"26","16",1,90000000,60,2.93562007139532,0.0306885985239411,2.93562007139532,0.0306885985239411,1,1
"27","17",1000001,18000000,15,3.01755243465397,0.0434335489720486,3.01755243465397,0.0434335489720486,1,1
"28","17",27000001,83257441,46,4.16745553506644,0.0360158148267367,4.16745553506644,0.0360158148267367,1,1
"29","18",1,80373285,66,3.96518249954552,0.0414685800327923,3.96518249954552,0.0414685800327923,1,1
"30","19",1000001,36000000,25,4.03799553414703,0.0387809283506116,4.03799553414703,0.0387809283506116,1,1
"31","19",38000001,58617616,15,6.11080043100055,0.054200131231408,6.11080043100055,0.054200131231408,1,1
"32","20",1,64444167,48,4.00122056962207,0.0189906167319965,4.00122056962207,0.0189906167319965,1,1
"33","21",14000001,46709983,27,3.03263415527678,0.0211989636595454,3.03263415527678,0.0211989636595454,1,1
"34","22",17000001,50000000,26,3.52675792615392,0.0374516039848253,3.52675792615392,0.0374516039848253,1,1
